"n1","n2","p","r","beta","myLevel","oracleLevel"
300,300,200,2,0.5,0.066,0.058
600,600,200,2,0.5,0.054,0.056
300,300,400,2,0.5,0.063,0.047
600,600,400,2,0.5,0.06,0.054
300,300,600,2,0.5,0.07,0.058
600,600,600,2,0.5,0.041,0.034
300,300,800,2,0.5,0.069,0.04
600,600,800,2,0.5,0.077,0.063
300,300,200,2,1,0.057,0.054
600,600,200,2,1,0.049,0.049
300,300,400,2,1,0.063,0.047
600,600,400,2,1,0.067,0.059
300,300,600,2,1,0.091,0.059
600,600,600,2,1,0.069,0.062
300,300,800,2,1,0.097,0.055
600,600,800,2,1,0.066,0.058
300,300,200,2,2,0.054,0.05
600,600,200,2,2,0.052,0.051
300,300,400,2,2,0.069,0.052
600,600,400,2,2,0.06,0.055
300,300,600,2,2,0.086,0.053
600,600,600,2,2,0.055,0.049
300,300,800,2,2,0.083,0.056
600,600,800,2,2,0.071,0.058
